,name,class_id,reviews,label
0,데이비드 시먼,101,ㅋㅋㅋㅋ이2새2끼 한 10판동안 존2나 어이없게 먹혀서 팔려고 잠금해제했더니 승격까지 12점 4판남았는데 혼자씹캐리해서 ㅋㅋ이걸4승하고 승격하네 ㅋㅋㅋ4판은 개좋게 사용했음 생각보다는 좋음,1
1,데이비드 시먼,101,아 장점하나 더 있다. 멀던가능 하프라인까지 던져짐. 훈련코치 먹이면 더 멀리도 가능할듯,1
2,데이비드 시먼,101,잉국 친선용 콘시먼 후기하... 이형 꽁지머리 간지 유일한 잉글국대 레전드 키퍼로 쓰고있는데 스탯에 비해 너무 아쉽다솔직히 당장이라도 tc심장 형님으로 갈아타고싶은데그냥 감성충이라 어찌저찌 쓰고있습니다이급여에 이정도 성능이면 무조건 쓰지마세요..팬심으로만 쓰셈 ㅇㅇ,0
3,데이비드 시먼,101,개 병신새끼 쳐막는걸 못봤어 위치선정도 안돼 중거리슛 못막아 커브볼 못막아 땅볼볼 못막아 키컨해도 갑자기 자빠져 뭐할줄아는게 하나도없어 이새끼때문에 순위경기 4연패하고 슈마이켈로 바꾸고 귀신같이 4연승함,0
4,데이비드 시먼,101,내가 고급여 키퍼를 딱 둘써봄 주공반데사르랑 콘시먼 둘의 특징 딱 한줄로 쓰자면주공반데사르 : 와 이래서 고급여 키퍼 쓰는구나...콘시먼 : 와 이래서 키퍼에 급여 아끼는구나쓰지마라 시먼,0
5,데이비드 시먼,101,아니 정무야 급여라도 낮게 해주던가잘 막게라도 해주던가 둘 중 하나는 하게 해줘야지,0
6,데이비드 시먼,101,쓰 레 기,0
7,데이비드 시먼,101,레만씀,0
8,데이비드 시먼,101,진짜 절대 쓰지마세요 잉글랜드 썩5아이콘 팀 하느냐고 넣었는데 라이브애들보다 더럽게 못막습니다 시먼 손절치고 그 급여로 다른 아이콘 추가할겁니다,0
9,데이비드 시먼,101,"라이브 쿠르투아나 슈체스니, 흐라데키, 돈나룸마 이런애들 만나면 골 오지게 안들어가는데얘만나니깐 골 다들어가네 ㅋㅋㅋㅋ피파엔 보정있으니깐 고급여 키퍼 쓰면안됨 ㅋㅋ",0
10,데이비드 시먼,101,상대로 만나봤는데 중거리는 걍 다 똑같이 들어감. 키퍼가 잘막아서 힘들었다는 느낌 같은건 없음..,0
11,데이비드 시먼,101,"zd는 키퍼의 영역이 아니라 시스템의 문제라 어떤 키퍼가 와도 못막는다 생각해야하고.. 이 외 1ㄷ1 , 코너 , 중거리 등 진짜 잘막네요",1
12,데이비드 시먼,101,그래도 한번쯤 고민하다 큰 맘 질러 영입했다15프로 쿠폰은 지금을 위해 남겨 놓은거다,-1
13,데이비드 시먼,101,월레반데사르는 진짜 좋았는데 피파4는 급여가 있어서 아이콘 반데사르 나와도 쓰기어렵겠네,-1
14,데이비드 시먼,101,시몬스,-1
15,데이비드 시먼,101,이거 제발 사줘라... 떳는데 안팔림,-1
16,데이비드 시먼,101,ㅇㅇ,-1
17,데이비드 시먼,101,올려줘 ㅠㅠ,-1
18,데이비드 시먼,101,아이콘 키퍼는 무조건 손해지,0
19,데이비드 시먼,101,좋겠냐 키퍼에 급여20 쓰면 팀 전체 밸런스가 무너지는데,0
20,데이비드 시먼,101,급여 20짜리 골키퍼 쓰기엔 너무나 큰 부담이고 능력치가 높게 나와도 키퍼는 다 거기서 거기이고 먹히는건 다 먹히기 때문에 굳이 쓸필요는 없다고 생각합니다,0
21,데이비드 시먼,101,누가쓰나..,0
22,로비 파울러,101,리버풀 톱으로 쓰는데 생각보다 좋네,1
